Region_ID,Latitude,Longitude,Density_Contrast,Area_Pixels,Is_Undiscovered,Dist_to_Known_km
444,35.5535,-115.54120603015075,0.6897577,3,True,3.2652982415155605
486,35.5505,-115.4929648241206,0.6890328,1,True,8.343708054612199
1268,35.405499999999996,-115.48492462311557,0.6886998,2,True,20.33522241971414
346,35.5615,-115.47788944723618,0.68807364,2,True,9.335277884431665
169,35.5765,-115.40653266331658,0.6869242,1,True,13.01295073585815
66,35.5895,-115.44371859296483,0.6868494,1,True,8.843116294786052
1226,35.4125,-115.46984924623116,0.6868461,2,True,20.45739286727955
1039,35.4335,-115.52713567839196,0.68636703,1,True,15.740363010047805
1056,35.4325,-115.47587939698492,0.68613386,1,True,18.22188000522012
1230,35.4115,-115.50100502512562,0.6860099,1,True,18.996765443019832
947,35.4535,-115.53015075376884,0.6852849,1,True,13.51561849855972
1052,35.4305,-115.51105527638191,0.68462646,4,True,16.624455917173606
767,35.5035,-115.53115577889447,0.68438756,1,True,8.310854300042063
402,35.5575,-115.4497487437186,0.6843841,1,True,11.09955889679734
687,35.5215,-115.4316582914573,0.6837871,1,True,15.552506243741174
808,35.4925,-115.42462311557789,0.6836268,1,True,17.853222674569103
1066,35.4315,-115.51909547738693,0.68308055,1,True,16.215577329763203
1147,35.4225,-115.50100502512562,0.68290627,1,True,17.871894451822993
428,35.5555,-115.42462311557789,0.6827581,1,True,12.994492198962904
869,35.4735,-115.44371859296483,0.6825019,1,True,17.252406333844146
761,35.5055,-115.41356783919599,0.68180263,1,True,18.129002965344707
968,35.4475,-115.52713567839196,0.6813187,5,True,14.250722146196471
213,35.5715,-115.53115577889447,0.6812141,1,True,3.8224964612843415
824,35.4875,-115.45075376884422,0.68092704,1,True,15.69255829668827
593,35.5405,-115.45879396984925,0.6802644,1,True,12.279317599566706
1194,35.4155,-115.52914572864321,0.6799917,1,True,17.61939232440233
946,35.4535,-115.5321608040201,0.6796621,1,True,13.452428973052607
1027,35.4335,-115.50603015075377,0.6795769,2,True,16.52970503102531
1186,35.4165,-115.49195979899497,0.6788662,1,True,18.8958516866408
358,35.5605,-115.49698492462312,0.67719,1,True,7.684528447110502
337,35.5615,-115.53618090452261,0.67543715,1,True,3.394824353988284
323,35.5625,-115.51909547738693,0.67518234,2,True,5.22431834190152
1224,35.4125,-115.48391959798995,0.6749418,1,True,19.69160186390399
122,35.5815,-115.4427135678392,0.67376107,1,True,9.525135757648346
942,35.454499999999996,-115.42763819095478,0.6724387,2,True,19.968488268529697
1176,35.4185,-115.48894472361809,0.6702909,1,True,18.844567313566035
325,35.5625,-115.47688442211056,0.6688569,1,True,9.265764383980285
961,35.4505,-115.56532663316582,0.6687792,1,True,13.264525293151028
1205,35.4145,-115.4929648241206,0.66854644,1,True,19.048812669051415
73,35.5875,-115.52613065326634,0.6681594,2,True,4.788364753476949
643,35.5315,-115.43467336683418,0.6677381,2,True,14.432388061910967
1211,35.4125,-115.49497487437186,0.667584,3,True,19.15787647983
230,35.5695,-115.54522613065326,0.6662569,1,True,2.2577417534348196
345,35.5615,-115.48894472361809,0.66600806,1,True,8.556473411138846
1048,35.4325,-115.53718592964825,0.6655679,1,True,15.584075008663863
733,35.5115,-115.45075376884422,0.6650482,1,True,14.302521522268606
630,35.533500000000004,-115.54020100502512,0.6646537,4,True,4.933358288490561
284,35.5655,-115.47688442211056,0.6644342,2,True,8.95171807417086
998,35.4405,-115.42361809045227,0.66353995,1,True,21.327533092412004
1084,35.4295,-115.52713567839196,0.66327196,1,True,16.16820013755699
712,35.5165,-115.53115577889447,0.66303563,1,True,7.060420610454512
725,35.5135,-115.41356783919599,0.66257274,1,True,17.39714003730119
224,35.5705,-115.46984924623116,0.66222596,1,True,8.74247883462896
1093,35.4285,-115.50603015075377,0.66156113,2,True,17.03987495296582
532,35.5465,-115.47386934673366,0.6611342,1,True,10.506621077665518
842,35.4805,-115.4497487437186,0.660471,1,True,16.246433040544034
544,35.5445,-115.55427135678391,0.6600187,1,True,3.0954544061251785
754,35.5075,-115.4427135678392,0.65961385,1,True,15.299285830320033
872,35.4725,-115.56633165829146,0.65753406,1,True,10.822838946864943
1071,35.4315,-115.4286432160804,0.65735227,1,True,21.617504548684835
1234,35.4105,-115.4316582914573,0.6572773,2,True,23.116244377961664
552,35.5435,-115.47386934673366,0.6571697,3,True,10.594207684845776
1285,35.4045,-115.47989949748744,0.6558956,1,True,20.685341167145143
395,35.5575,-115.54422110552764,0.65536636,1,True,2.745087266297312
539,35.545500000000004,-115.52110552763818,0.6544024,1,True,5.63422060642597
512,35.548500000000004,-115.45979899497488,0.65380317,1,True,11.426714479730338
1112,35.4265,-115.50402010050252,0.6537681,1,True,17.331436787664952
1181,35.4175,-115.46582914572865,0.653665,1,True,20.225921978283814
917,35.4595,-115.55226130653266,0.65344787,1,True,12.35400840860387
1120,35.4255,-115.51206030150753,0.6531571,1,True,17.103536038187517
426,35.5555,-115.44472361809045,0.6529646,1,True,11.59456737636813
592,35.5405,-115.46180904522613,0.65296054,1,True,11.972836142943462
199,35.5735,-115.48894472361809,0.65276283,1,True,7.722968996253669
751,35.5075,-115.4105527638191,0.6526825,2,True,18.134396844783012
1095,35.4285,-115.41155778894473,0.65243465,1,True,23.214378496378743
691,35.5205,-115.45075376884422,0.65203476,1,True,13.877539763767775
1257,35.4085,-115.41457286432161,0.65187186,1,True,24.540632793276814
1047,35.4335,-115.4286432160804,0.6509585,1,True,21.460194614970327
139,35.5795,-115.48492462311557,0.6508113,1,True,7.194270112788935
782,35.4995,-115.5683417085427,0.6504511,2,True,7.831589171150299
14,35.5955,-115.50904522613065,0.6501704,1,True,5.122454489341366
511,35.548500000000004,-115.46482412060301,0.6501221,2,True,11.197611739150254
290,35.5655,-115.43266331658292,0.6497945,1,True,11.574111037011356
696,35.5195,-115.5572864321608,0.6497344,2,True,5.680231193828064
915,35.460499999999996,-115.53316582914573,0.64877653,1,True,12.6752242439357
1247,35.4095,-115.53015075376884,0.6482579,4,True,18.243911077359478
476,35.5515,-115.49095477386935,0.6478215,2,True,8.531987230825402
364,35.5605,-115.4286432160804,0.647799,1,True,12.284188603998517
7,35.5995,-115.4718592964824,0.6476091,2,True,5.8722605414834845
866,35.4745,-115.43065326633166,0.64696157,2,True,18.346952502201344
1088,35.4295,-115.5,0.646806,1,True,17.20978436575015
488,35.5505,-115.46180904522613,0.64647335,1,True,11.130728104820093
1006,35.4385,-115.47889447236182,0.64612937,1,True,17.481412406073368
801,35.4945,-115.56331658291457,0.646089,2,True,8.384198880037241
137,35.5795,-115.49497487437186,0.643511,1,True,6.9451968529006605
635,35.5325,-115.53417085427135,0.6433229,2,True,5.428261441164212
963,35.4505,-115.44472361809045,0.643066,1,True,18.864018500278764
803,35.4945,-115.43467336683418,0.6426726,1,True,16.772228829104684
84,35.5865,-115.45276381909548,0.6426526,1,True,8.347545048758754
964,35.4495,-115.54723618090452,0.6423347,1,True,13.529261920669311
895,35.466499999999996,-115.4316582914573,0.6421764,1,True,18.785554720094083
38,35.5925,-115.48090452261307,0.64180297,1,True,6.009924344216963
981,35.4445,-115.51507537688443,0.64165914,1,True,15.015369728894555
1032,35.4345,-115.46080402010051,0.6405938,1,True,19.011181416883833
193,35.5735,-115.543216080402,0.640436,2,True,2.510418422201135
1304,35.4005,-115.49195979899497,0.64010483,1,True,20.51165861073938
17,35.5955,-115.46381909547739,0.63922966,1,True,6.782897114638
1134,35.4245,-115.4718592964824,0.63601863,1,True,19.209758851605855
642,35.5315,-115.4497487437186,0.6350583,1,True,13.546774469993869
37,35.5925,-115.48291457286432,0.6346735,1,True,5.917482024340959
1139,35.4245,-115.42663316582914,0.633841,1,True,22.33029661309887
416,35.5565,-115.42060301507539,0.6322346,1,True,13.222403244795151
1003,35.4395,-115.52713567839196,0.63179845,1,True,15.100357137766004
166,35.5765,-115.45577889447236,0.631615,2,True,8.985113150293678
720,35.5145,-115.4105527638191,0.63099706,1,True,17.50328129991867
286,35.5655,-115.4718592964824,0.6291953,1,True,9.155497517178613
279,35.5655,-115.54020100502512,0.6287202,1,True,2.8588235347117106
31,35.5915,-115.53819095477387,0.6286507,2,True,3.863237973181518
315,35.5635,-115.48391959798995,0.6284295,1,True,8.933211370599802
1060,35.4325,-115.42160804020101,0.62825066,1,True,22.09664505145511
724,35.5125,-115.42964824120604,0.6276809,3,True,16.38077819808683
757,35.5065,-115.42160804020101,0.6274966,1,True,17.4642253916394
1160,35.4205,-115.51005025125627,0.6270233,1,True,17.70148367666148
259,35.5675,-115.51507537688443,0.6262983,1,True,5.610659862743006
82,35.5865,-115.45879396984925,0.6259677,1,True,7.905114371786775
670,35.5265,-115.41356783919599,0.6251763,2,True,16.241110815996336
1286,35.4045,-115.45778894472362,0.62366575,2,True,21.92210667861826
1004,35.4395,-115.41256281407036,0.62330794,1,True,22.321321413983572
858,35.4755,-115.55427135678391,0.6232552,1,True,10.564076768956552
336,35.5615,-115.54522613065326,0.6222381,2,True,2.4463257806764975
283,35.5655,-115.4819095477387,0.62200373,1,True,8.778703502541417
818,35.4895,-115.52613065326634,0.6218461,1,True,9.949788490834488
233,35.5695,-115.5,0.62152135,1,True,7.277371635117174
566,35.542500000000004,-115.54824120603014,0.62035155,1,True,3.607398603610592
1258,35.4085,-115.41256281407036,0.6200252,1,True,24.69354331938581
874,35.4725,-115.43065326633166,0.61948067,1,True,18.476108143167977
65,35.5895,-115.48693467336683,0.61944664,1,True,6.069202071552542
1239,35.4105,-115.50502512562814,0.6193387,1,True,18.936717445969986
877,35.4715,-115.52713567839196,0.6191462,1,True,11.73594894706393
215,35.5715,-115.49396984924623,0.61913306,3,True,7.839975791805846
1155,35.4215,-115.47286432160804,0.6191082,1,True,19.431259008694077
745,35.5085,-115.54924623115578,0.6186342,1,True,7.062591700865984
450,35.5535,-115.48391959798995,0.6179713,1,True,9.245310701458969
997,35.4405,-115.53015075376884,0.6179282,1,True,14.902164319272703
1303,35.4005,-115.50904522613065,0.61718184,1,True,19.83274298851958
120,35.5815,-115.456783919598,0.6169732,1,True,8.476979751785535
446,35.5535,-115.51105527638191,0.6166242,1,True,6.321169713119166
1289,35.4035,-115.53517587939699,0.6165371,1,True,18.786711399117937
1018,35.4355,-115.5180904522613,0.61644113,1,True,15.83204325746294
155,35.5785,-115.40954773869348,0.6164058,2,True,12.6113413069621
301,35.5645,-115.45778894472362,0.6160442,1,True,9.967326810200172
548,35.5445,-115.49698492462312,0.6149911,1,True,8.121067507073839
570,35.542500000000004,-115.41256281407036,0.61470175,1,True,14.96282824978142
1238,35.4105,-115.50804020100503,0.6138738,1,True,18.820565475638706
792,35.4975,-115.53115577889447,0.61270565,1,True,8.907637913416089
174,35.5755,-115.543216080402,0.6124203,1,True,2.554208028827395
1138,35.4245,-115.44472361809045,0.6122655,1,True,20.99387729741334
1010,35.4375,-115.53417085427135,0.61206836,1,True,15.114568213271253
510,35.548500000000004,-115.46683417085427,0.61198753,1,True,11.11248948563654
387,35.5585,-115.4819095477387,0.61182463,1,True,9.372534076905232
1299,35.4015,-115.48492462311557,0.61134875,1,True,20.734821987642807
780,35.5005,-115.53015075376884,0.6106552,1,True,8.658046049692752
48,35.5915,-115.48994974874373,0.60985184,1,True,5.758351832234276
1182,35.4175,-115.46281407035175,0.60943675,1,True,20.4110185445617
1124,35.4255,-115.46582914572865,0.6093328,2,True,19.488797394185564
